INFO 2025-03-16 14:13:53,583 autoreload Watching for file changes with StatReloader
INFO 2025-03-16 14:14:24,852 basehttp "OPTIONS /api/rides/match/ HTTP/1.1" 200 0
ERROR 2025-03-16 14:14:24,868 log Internal Server Error: /api/rides/match/
ERROR 2025-03-16 14:14:24,868 basehttp "POST /api/rides/match/ HTTP/1.1" 500 50
INFO 2025-03-16 14:16:50,445 autoreload /Users/hammedbalogun/Desktop/ride_mgn_system-main/matching/views.py changed, reloading.
INFO 2025-03-16 14:16:50,770 autoreload Watching for file changes with StatReloader
INFO 2025-03-16 14:17:01,980 autoreload /Users/hammedbalogun/Desktop/ride_mgn_system-main/matching/services/matching_service.py changed, reloading.
INFO 2025-03-16 14:17:02,257 autoreload Watching for file changes with StatReloader
INFO 2025-03-16 14:17:13,014 basehttp "OPTIONS /api/rides/match/ HTTP/1.1" 200 0
ERROR 2025-03-16 14:17:13,025 matching_service Error calculating distance score: 'MatchingService' object has no attribute 'calculate_distance'
INFO 2025-03-16 14:17:13,529 basehttp "POST /api/rides/match/ HTTP/1.1" 200 541
INFO 2025-03-16 14:24:35,888 basehttp "OPTIONS /api/rides/auth/login/ HTTP/1.1" 200 0
INFO 2025-03-16 14:24:36,090 basehttp "POST /api/rides/auth/login/ HTTP/1.1" 200 135
INFO 2025-03-16 14:29:06,774 autoreload /Users/hammedbalogun/Desktop/ride_mgn_system-main/matching/services/matching_service.py changed, reloading.
INFO 2025-03-16 14:29:07,105 autoreload Watching for file changes with StatReloader
INFO 2025-03-16 14:31:19,449 autoreload /Users/hammedbalogun/Desktop/ride_mgn_system-main/matching/models.py changed, reloading.
INFO 2025-03-16 14:31:19,808 autoreload Watching for file changes with StatReloader
INFO 2025-03-16 14:31:25,963 autoreload /Users/hammedbalogun/Desktop/ride_mgn_system-main/matching/serializers.py changed, reloading.
INFO 2025-03-16 14:31:26,243 autoreload Watching for file changes with StatReloader
INFO 2025-03-16 14:31:33,430 autoreload /Users/hammedbalogun/Desktop/ride_mgn_system-main/matching/views.py changed, reloading.
INFO 2025-03-16 14:31:33,703 autoreload Watching for file changes with StatReloader
INFO 2025-03-16 14:31:41,900 autoreload /Users/hammedbalogun/Desktop/ride_mgn_system-main/matching/views.py changed, reloading.
INFO 2025-03-16 14:31:42,205 autoreload Watching for file changes with StatReloader
INFO 2025-03-16 14:31:48,365 autoreload /Users/hammedbalogun/Desktop/ride_mgn_system-main/matching/urls.py changed, reloading.
INFO 2025-03-16 14:31:48,562 autoreload Watching for file changes with StatReloader
INFO 2025-03-16 14:32:26,924 basehttp "GET /admin/matching/ride/ HTTP/1.1" 200 13407
INFO 2025-03-16 14:32:26,971 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-03-16 14:32:26,977 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2025-03-16 14:32:26,981 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-03-16 14:32:26,982 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-03-16 14:32:26,983 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-03-16 14:32:26,987 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2025-03-16 14:32:26,989 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-03-16 14:32:26,991 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-16 14:32:26,994 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9097
INFO 2025-03-16 14:32:26,996 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-03-16 14:32:26,996 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-03-16 14:32:27,000 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-03-16 14:32:26,997 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-03-16 14:32:27,005 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-03-16 14:32:27,006 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-03-16 14:32:27,007 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-03-16 14:32:27,011 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-03-16 14:32:27,014 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-03-16 14:32:27,051 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-03-16 14:32:27,051 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-03-16 14:32:27,052 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-03-16 14:32:27,136 basehttp "GET /admin/matching/ride/ HTTP/1.1" 200 13407
INFO 2025-03-16 14:32:27,155 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-03-16 14:32:27,155 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-03-16 14:32:27,157 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-03-16 14:32:27,158 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2025-03-16 14:32:27,159 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-03-16 14:32:27,160 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-03-16 14:32:27,162 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-03-16 14:32:27,162 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2025-03-16 14:32:27,163 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
